t,o,h,l,c,v,n,vw
2023-01-04T22:00:00Z,126.18,127.74,126.11,127.54,338478,3034,127.113711
2023-01-04T23:00:00Z,127.52,127.52,126.36,127,160518,1933,127.092238
2023-01-05T00:00:00Z,127.01,127.08,126.61,126.65,90243,1366,126.831205
2023-01-05T09:00:00Z,127,127,125.95,126.4,142428,1637,126.281125
2023-01-05T10:00:00Z,126.4,126.9,125.79,125.92,114561,1587,126.312147
2023-01-05T11:00:00Z,125.96,127.09,125.96,126.99,115484,1515,126.560744
2023-01-05T12:00:00Z,126.93,127.88,126.87,127.6,234127,4140,127.43456
2023-01-05T13:00:00Z,127.05,127.87,126.25,126.92,794836,10758,127.169761
2023-01-05T14:00:00Z,126.9115,127.4891,125.32,127.38,12829181,131328,126.302146
2023-01-05T15:00:00Z,127.3699,127.74,126.16,126.42,13422726,108808,126.882299
2023-01-05T16:00:00Z,126.42,127.08,126.15,126.68,8634913,71416,126.655418
2023-01-05T17:00:00Z,126.68,126.955,126.18,126.2474,5283324,52401,126.507179
2023-01-05T18:00:00Z,126.245,127.04,125.8001,126.27,8188121,69513,126.439049
2023-01-05T19:00:00Z,126.28,126.47,125.475,125.48,7404298,71582,126.003974
2023-01-05T20:00:00Z,125.485,125.53,124.76,125.03,14946852,129803,125.128037
2023-01-05T21:00:00Z,125.02,125.34,124.99,125.16,8908812,4111,125.023942
2023-01-05T22:00:00Z,125.15,125.15,125.05,125.1,75097,1366,125.109015
2023-01-05T23:00:00Z,125.13,125.23,124.8,125.17,88894,1627,125.044447
2023-01-06T00:00:00Z,125.17,125.25,125.12,125.25,46537,939,125.185773
2023-01-06T09:00:00Z,125.52,125.52,124.64,124.96,57740,1382,125.009693
2023-01-06T10:00:00Z,124.96,125.22,124.86,124.86,29749,632,125.045441
2023-01-06T11:00:00Z,124.85,125.16,124.8,124.91,15140,395,124.962086
2023-01-06T12:00:00Z,124.91,125.08,124.77,124.9,117655,1954,124.92144
2023-01-06T13:00:00Z,124.86,126.75,124.4,126.4,1314359,17857,125.626559
2023-01-06T14:00:00Z,126.39,127.19,124.89,125.8,11906647,128852,125.969485
2023-01-06T15:00:00Z,125.8,127.51,125.8,127.41,13387900,124542,126.92978
2023-01-06T16:00:00Z,127.445,128.04,127.01,127.88,9949724,89881,127.559247
2023-01-06T17:00:00Z,127.8899,128.48,127.78,127.96,7665392,66317,128.167164
2023-01-06T18:00:00Z,127.96,128.88,127.89,128.845,6715157,56454,128.380934
2023-01-06T19:00:00Z,128.85,129.99,128.7833,129.8491,9481439,80125,129.449608
2023-01-06T20:00:00Z,129.85,130.29,129.34,129.5,15685623,135634,129.796743
2023-01-06T21:00:00Z,129.49,129.66,129.18,129.341,10602677,3496,129.61017
2023-01-06T22:00:00Z,129.32,129.35,129.24,129.32,737640,876,129.593645
2023-01-06T23:00:00Z,129.29,129.38,129.29,129.35,27975,564,129.339453
2023-01-07T00:00:00Z,129.37,129.38,129.26,129.26,41294,608,129.30814
2023-01-09T09:00:00Z,129.6,130.5,129.6,130.29,74475,1764,130.153842
2023-01-09T10:00:00Z,130.26,130.5,130.15,130.25,30779,979,130.311146
2023-01-09T11:00:00Z,130.21,130.35,130.02,130.22,31943,918,130.212986
2023-01-09T12:00:00Z,130.25,130.4,130.16,130.25,149821,2684,130.275261
2023-01-09T13:00:00Z,130.2,130.63,129.955,130.2,427988,8029,130.263472
2023-01-09T14:00:00Z,130.24,132.06,130.13,132.015,10177915,142797,131.161259
2023-01-09T15:00:00Z,132.01,133.14,131.96,132.74,12707191,118286,132.502369
2023-01-09T16:00:00Z,132.74,133.41,132.67,132.945,8730974,78933,133.047417
2023-01-09T17:00:00Z,132.94,132.955,132.25,132.459,6341391,55394,132.59708
2023-01-09T18:00:00Z,132.46,132.64,131.19,131.395,7190618,66471,131.941004
2023-01-09T19:00:00Z,131.39,131.726,130.59,130.67,7512769,69507,131.325151
2023-01-09T20:00:00Z,130.68,130.82,129.89,130.19,9641060,91358,130.348013
2023-01-09T21:00:00Z,130.19,131.709,130.04,130.1,7489981,1885,130.157518
2023-01-09T22:00:00Z,130.12,130.12,130.03,130.04,110955,809,130.124267
2023-01-09T23:00:00Z,130.05,130.07,129.95,130.04,76076,1557,130.021745
2023-01-10T00:00:00Z,130.01,130.04,129.76,129.85,113070,1791,129.878198
2023-01-10T09:00:00Z,130.02,130.28,129.84,130.13,47363,839,130.040054
2023-01-10T10:00:00Z,130.17,130.5,130.1,130.5,19592,498,130.276988
2023-01-10T11:00:00Z,130.44,130.46,130.01,130.12,33037,793,130.17904
2023-01-10T12:00:00Z,130.12,130.12,129.32,129.75,126899,2923,129.646468
2023-01-10T13:00:00Z,130.0334,130.4385,129.3,129.85,261290,5083,129.712817
2023-01-10T14:00:00Z,129.88,131.2636,129.51,129.99,9471479,106755,130.229309
2023-01-10T15:00:00Z,129.99,130.8367,128.12,129.09,12943447,128056,129.413267
2023-01-10T16:00:00Z,129.1,129.23,128.66,128.88,7632922,68496,128.959486
2023-01-10T17:00:00Z,128.87,129.86,128.45,129.73,6102889,54357,129.212876
2023-01-10T18:00:00Z,129.73,130.27,129.42,130.225,6966917,57167,129.84875
2023-01-10T19:00:00Z,130.23,130.69,129.98,130.115,6236334,50118,130.309762
2023-01-10T20:00:00Z,130.115,130.75,129.76,130.75,8685803,74620,130.243198
2023-01-10T21:00:00Z,130.75,130.8,130.66,130.7,5213427,1869,130.730361
2023-01-10T22:00:00Z,130.71,130.76,130.7,130.72,27857,484,130.736201
2023-01-10T23:00:00Z,130.72,130.76,130.58,130.75,50218,826,130.693104
2023-01-11T00:00:00Z,130.75,130.99,130.75,130.97,80589,1070,130.875506
2023-01-11T09:00:00Z,130.95,131.3,130.8,131.05,37601,797,131.119361
2023-01-11T10:00:00Z,131.21,131.32,130.96,130.96,24774,612,131.134073
2023-01-11T11:00:00Z,130.96,131.18,130.8,130.8,40030,722,130.977125
2023-01-11T12:00:00Z,130.88,130.94,130.46,130.7,95867,2013,130.71808
2023-01-11T13:00:00Z,130.85,131.68,130.404,131.5,521167,7426,131.11454
2023-01-11T14:00:00Z,131.5,131.59,130.46,130.8781,8962543,97468,131.068217
2023-01-11T15:00:00Z,130.895,132.1084,130.49,131.475,12053531,104965,131.415731
2023-01-11T16:00:00Z,131.48,132.37,131.375,132.29,7190551,67099,131.799965
2023-01-11T17:00:00Z,132.3,132.93,132.2296,132.75,7055723,66071,132.643494
2023-01-11T18:00:00Z,132.76,133.24,132.21,132.4001,6153047,58798,132.71466
2023-01-11T19:00:00Z,132.41,132.87,132.165,132.5299,5390558,47376,132.497423
2023-01-11T20:00:00Z,132.53,133.51,132.495,133.48,11918004,98478,133.039126
2023-01-11T21:00:00Z,133.48,133.5,133.14,133.43,9837869,4144,133.486988
2023-01-11T22:00:00Z,133.42,133.47,133.35,133.44,102116,1528,133.425943
2023-01-11T23:00:00Z,133.44,133.47,133.36,133.44,53569,1403,133.427039
2023-01-12T00:00:00Z,133.45,133.49,133.39,133.49,86513,1779,133.434701
2023-01-12T09:00:00Z,134,134,133.32,133.8,33796,762,133.575505
2023-01-12T10:00:00Z,133.75,133.75,133.41,133.64,24084,645,133.578687
2023-01-12T11:00:00Z,133.63,133.69,133.42,133.64,20869,448,133.601401
2023-01-12T12:00:00Z,133.64,134.16,133.5,134.16,120587,2641,133.817716
2023-01-12T13:00:00Z,133.6302,134.61,131.5,134.33,1875449,23742,133.434322
2023-01-12T14:00:00Z,134.35,134.66,131.44,132.3,11900024,132104,132.78791
2023-01-12T15:00:00Z,132.3,133.795,132.15,132.445,11929000,118570,132.973766
2023-01-12T16:00:00Z,132.45,133.1705,131.99,133.08,6900881,75382,132.5202
2023-01-12T17:00:00Z,133.08,134.22,132.815,133.72,6903925,67219,133.709356
2023-01-12T18:00:00Z,133.715,134.19,132.42,134.025,8932034,71502,133.546713
2023-01-12T19:00:00Z,134.02,134.11,133.01,133.3501,6244589,56256,133.441298
2023-01-12T20:00:00Z,133.355,133.56,132.77,133.385,9061258,80782,133.202173
2023-01-12T21:00:00Z,133.385,133.45,133.1501,133.22,7320406,1462,133.409133
2023-01-12T22:00:00Z,133.2,133.5,133.18,133.201,30665,546,133.287866
2023-01-12T23:00:00Z,133.2,133.27,133.13,133.2,29042,661,133.194237
2023-01-13T00:00:00Z,133.19,133.25,133.12,133.12,30945,631,133.184356
2023-01-13T09:00:00Z,133.43,133.6,133.06,133.37,33702,800,133.304499
2023-01-13T10:00:00Z,133.3,133.34,133.14,133.16,7115,195,133.25669
2023-01-13T11:00:00Z,133.06,133.12,132.6,132.78,23656,597,132.853106
2023-01-13T12:00:00Z,132.89,132.89,132.13,132.15,101427,2639,132.48948
2023-01-13T13:00:00Z,132.8,133.41,131.82,132.02,565155,6892,132.528535
2023-01-13T14:00:00Z,132.02,132.9328,131.66,132.565,8119013,86196,132.287776
2023-01-13T15:00:00Z,132.54,133.97,132.4,133.75,10456186,115797,133.390046
2023-01-13T16:00:00Z,133.75,133.96,132.755,133.2131,6996922,74496,133.255104
2023-01-13T17:00:00Z,133.21,133.6,133.1301,133.539,4327760,47410,133.368692
2023-01-13T18:00:00Z,133.54,134.38,133.3,134.1365,5494266,53916,133.855174
2023-01-13T19:00:00Z,134.14,134.42,133.89,134.1309,5297061,50355,134.146057
2023-01-13T20:00:00Z,134.14,134.92,134.07,134.7,9715584,91751,134.587336
2023-01-13T21:00:00Z,134.7,134.78,134.42,134.52,6535915,2324,134.756212
2023-01-13T22:00:00Z,134.59,134.63,134.52,134.59,23742,466,134.581686
2023-01-13T23:00:00Z,134.58,134.59,134.52,134.56,12499,325,134.558647
2023-01-14T00:00:00Z,134.53,134.6,134.5,134.55,36689,571,134.55281
2023-01-17T09:00:00Z,134.53,135.66,134.15,134.2,35652,1133,134.452345
2023-01-17T10:00:00Z,134.24,134.55,134.15,134.55,21223,567,134.318558
2023-01-17T11:00:00Z,134.52,134.6,134.39,134.46,12210,332,134.496269
2023-01-17T12:00:00Z,134.57,134.9,134.48,134.67,116136,2859,134.692842
2023-01-17T13:00:00Z,134.57,135.41,133.51,135.22,362595,8212,135.010938
2023-01-17T14:00:00Z,135.24,135.61,134.13,135.19,9886003,127131,135.013217
2023-01-17T15:00:00Z,135.19,137.29,135.19,135.54,14354130,157458,136.223615
2023-01-17T16:00:00Z,135.535,136.14,134.68,135.86,8122054,73695,135.424194
2023-01-17T17:00:00Z,135.87,136.28,135.31,136.25,5163666,46219,135.79661
2023-01-17T18:00:00Z,136.24,136.4,135.91,136.055,4218745,41305,136.117634
2023-01-17T19:00:00Z,136.06,136.0899,135.4,135.9075,4802197,47005,135.832248
2023-01-17T20:00:00Z,135.895,136.08,135.6,135.93,8754499,83746,135.813811
2023-01-17T21:00:00Z,135.91,136.05,135.9,136.02,7621678,2045,135.940678
2023-01-17T22:00:00Z,136.0197,136.02,135.91,135.97,32780,498,135.946878
2023-01-17T23:00:00Z,135.93,135.94,135.49,135.6,152097,1501,135.78628
2023-01-18T00:00:00Z,135.62,135.62,135.49,135.5,79848,1152,135.543828
2023-01-18T09:00:00Z,136.28,136.3,136.07,136.17,30304,871,136.160267
2023-01-18T10:00:00Z,136.18,136.45,136.02,136.41,22597,524,136.221026
2023-01-18T11:00:00Z,136.44,136.57,136.32,136.57,16724,514,136.446932
2023-01-18T12:00:00Z,136.52,136.88,136.43,136.88,108132,2235,136.675026
2023-01-18T13:00:00Z,136.5995,137.2699,135.601,136.96,625288,9592,136.73475
2023-01-18T14:00:00Z,136.92,138,136.68,137.98,10776154,111582,137.321937
2023-01-18T15:00:00Z,137.98,138.61,136.55,137.055,12600179,115691,137.660593
2023-01-18T16:00:00Z,137.05,137.3699,135.8,136.1559,8703992,82793,136.496971
2023-01-18T17:00:00Z,136.1578,136.2799,135.42,135.7,6160681,56614,135.714365
2023-01-18T18:00:00Z,135.7,136.27,135.33,136.06,5955360,55916,135.718503
2023-01-18T19:00:00Z,136.07,136.16,135.65,135.805,4830705,44898,135.901941
2023-01-18T20:00:00Z,135.8,136.11,135.03,135.2,9577687,88277,135.49936
2023-01-18T21:00:00Z,135.2,135.25,134.9,135.05,10052645,3724,135.205292
2023-01-18T22:00:00Z,135.05,135.07,134.7617,134.86,70921,1094,134.935307
2023-01-18T23:00:00Z,134.9,135.16,134.76,134.79,91062,1421,134.90994
2023-01-19T00:00:00Z,134.79,134.8,134.4,134.44,87067,1552,134.599767
2023-01-19T09:00:00Z,134.52,134.9,134.31,134.4,55602,1290,134.624682
2023-01-19T10:00:00Z,134.45,134.53,134.22,134.31,30889,685,134.345109
2023-01-19T11:00:00Z,134.29,134.3,133.63,133.79,71300,1377,133.90314
2023-01-19T12:00:00Z,133.78,133.89,133.38,133.52,144648,2789,133.60205
2023-01-19T13:00:00Z,133.69,134.872,133.22,133.82,411761,6635,133.593026
2023-01-19T14:00:00Z,133.82,135.325,133.65,135.06,8028677,93985,134.569487
2023-01-19T15:00:00Z,135.05,135.0686,133.77,134.0999,8580212,81658,134.457606
2023-01-19T16:00:00Z,134.11,135.39,134.05,134.4,7925290,66299,134.624135
2023-01-19T17:00:00Z,134.39,134.83,134.27,134.598,4350345,40488,134.521144
2023-01-19T18:00:00Z,134.6,135.55,134.5873,135.28,5623892,50668,135.023513
2023-01-19T19:00:00Z,135.27,136.25,135.06,135.925,6353355,56037,135.735547
2023-01-19T20:00:00Z,135.94,136.05,135.1,135.2822,9052372,83974,135.562124
2023-01-19T21:00:00Z,135.27,136,135.26,135.72,7487389,2398,135.278527
2023-01-19T22:00:00Z,135.73,135.74,135.51,135.72,30859,494,135.644603
2023-01-19T23:00:00Z,135.78,135.86,135.42,135.55,105907,748,135.404995
2023-01-20T00:00:00Z,135.56,135.56,135.16,135.55,86052,1097,135.378109
2023-01-20T09:00:00Z,135.6,135.63,135.24,135.24,43591,719,135.417739
2023-01-20T10:00:00Z,135.25,135.4,135.18,135.4,14456,266,135.291949
2023-01-20T11:00:00Z,135.44,135.56,135.13,135.27,20945,499,135.346387
2023-01-20T12:00:00Z,135.36,136.29,135.36,136.17,119498,1985,135.928954
2023-01-20T13:00:00Z,135.85,136.29,134.932,135.46,350247,5092,135.834303
2023-01-20T14:00:00Z,135.48,136,134.22,134.6012,13000983,103296,134.869073
2023-01-20T15:00:00Z,134.61,135.4897,134.32,135.01,9695401,81317,134.966406
2023-01-20T16:00:00Z,135.02,135.6718,135,135.3063,7058241,62451,135.34056
2023-01-20T17:00:00Z,135.31,135.95,135.305,135.77,4675405,45903,135.646816
2023-01-20T18:00:00Z,135.7689,136.85,135.38,136.8301,7418088,64582,136.066894
2023-01-20T19:00:00Z,136.84,137.28,136.64,137.17,6588067,56055,136.987022
